Party,Won,Leading,Total
Bharatiya Janata Party,32,0,32
Independent,3,0,3
Indian National Congress,5,0,5
Janata Dal  (United),6,0,6
Kuki People’s Alliance,2,0,2
Naga Peoples Front,5,0,5
National People's Party,7,0,7
