Party,Won,Leading,Total
Aam Aadmi Party,92,0,92
Bahujan Samaj Party,1,0,1
Bharatiya Janata Party,2,0,2
Independent,1,0,1
Indian National Congress,18,0,18
Shiromani Akali Dal,3,0,3
